dateoftest,elapsed,label
[26/Jul/2013:14:08:24,464982,/batches/batch?course=390,200
[26/Jul/2013:14:08:25,212995,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:19,5712032,/api/batch/243,302
[26/Jul/2013:14:08:25,431889,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847703623,200
[26/Jul/2013:14:08:25,676122,/batches/batch?course=388,200
[26/Jul/2013:14:08:25,533201,/batches/batch/243,200
[26/Jul/2013:14:08:25,567419,/batches/batch.json?course=389&offset=0&limit=20&_=1374847704065,200
[26/Jul/2013:14:08:26,575932,/batches/batch?course=391,200
[26/Jul/2013:14:08:26,666459,/batches/batch?course=387,200
[26/Jul/2013:14:08:26,157158,/js/routing?callback=fos.Router.setData,200
[26/Jul/2013:14:08:26,382005,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847705014,200
[26/Jul/2013:14:08:27,369801,/batches/batch.json?course=391&offset=0&limit=20&_=1374847705407,200
[26/Jul/2013:14:08:28,385059,/batches/batch.json?course=390&offset=0&limit=20&_=1374847706229,200
[26/Jul/2013:14:08:28,390303,/batches/batch.json?course=389&offset=0&limit=20&_=1374847706652,200
[26/Jul/2013:14:08:28,370471,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847707058,200
[26/Jul/2013:14:08:29,359181,/batches/batch.json?course=391&offset=0&limit=20&_=1374847707794,200
[26/Jul/2013:14:08:30,406806,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847708164,200
[26/Jul/2013:14:08:30,357679,/batches/batch.json?course=390&offset=0&limit=20&_=1374847708956,200
[26/Jul/2013:14:08:31,376074,/batches/batch.json?course=389&offset=0&limit=20&_=1374847709445,200
[26/Jul/2013:14:08:31,372364,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847709833,200
[26/Jul/2013:14:08:32,329701,/batches/batch.json?course=391&offset=0&limit=20&_=1374847710597,200
[26/Jul/2013:14:08:32,281244,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847710938,200
[26/Jul/2013:14:08:33,302808,/batches/batch.json?course=390&offset=0&limit=20&_=1374847711706,200
[26/Jul/2013:14:08:34,288264,/batches/batch.json?course=389&offset=0&limit=20&_=1374847712221,200
[26/Jul/2013:14:08:34,284639,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847712520,200
[26/Jul/2013:14:08:35,283541,/batches/batch.json?course=391&offset=0&limit=20&_=1374847713235,200
[26/Jul/2013:14:08:35,262338,/batches/historyStatus?course=391&offset=0&limit=20&_=1374847713530,200
[26/Jul/2013:14:08:36,279739,/batches/batch.json?course=390&offset=0&limit=20&_=1374847714406,200
[26/Jul/2013:14:08:36,286097,/batches/batch.json?course=389&offset=0&limit=20&_=1374847714819,200
[26/Jul/2013:14:08:37,291157,/batches/historyStatus?course=389&offset=0&limit=20&_=1374847715121,200
